Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison
Bc1	10287.99399	6.378580698	0.528957093	2.28e-34	4.05e-30	NLGF3.vs.WT3
LOC108167575	193.72862	1.558885721	0.187358805	1.09e-17	9.69e-14	NLGF3.vs.WT3
Rny3	20.94696499	4.288173045	0.555468311	2.36e-17	1.39e-13	NLGF3.vs.WT3
Cox7c	2486.288053	-0.742478502	0.103627634	2.06e-14	7.33e-11	NLGF3.vs.WT3
Gm12338	114.6369318	-1.393142732	0.18728412	2.05e-14	7.33e-11	NLGF3.vs.WT3
Gm9769	366.7155352	-1.014542475	0.1357717	3.17e-14	9.39e-11	NLGF3.vs.WT3
Adnp	200.9950767	1.421971776	0.203057206	4.59e-13	1.02e-09	NLGF3.vs.WT3
Rny1	39.54696072	3.409178713	0.58945201	4.55e-13	1.02e-09	NLGF3.vs.WT3
Rpl5	3111.148009	-0.694530972	0.112239092	1.17e-12	2.31e-09	NLGF3.vs.WT3
Cebpb	338.5556275	1.082145733	0.157725895	2.39e-12	4.24e-09	NLGF3.vs.WT3
Gm38469	32.7934254	1.860722523	0.286923664	2.79e-12	4.34e-09	NLGF3.vs.WT3
Ncoa4	1488.926513	-0.336408641	0.053846835	2.93e-12	4.34e-09	NLGF3.vs.WT3
B4galt6	5859.032498	0.34785585	0.056851094	3.72e-12	5.08e-09	NLGF3.vs.WT3
Shfm1	479.1459536	-0.528369121	0.10779862	8.83e-12	1.12e-08	NLGF3.vs.WT3
Amer2	4410.824293	0.295024641	0.047040621	1.09e-11	1.29e-08	NLGF3.vs.WT3
Rpl23	2163.278309	-0.41742897	0.080227379	1.23e-11	1.37e-08	NLGF3.vs.WT3
Gm9833	143.999376	-0.915941684	0.140757547	1.49e-11	1.56e-08	NLGF3.vs.WT3
Gm12191	38.66107058	-1.747965526	0.284392721	4.15e-11	4.09e-08	NLGF3.vs.WT3
Dyrk1a	3733.097783	0.193525424	0.030580739	5.78e-11	5.4e-08	NLGF3.vs.WT3
Aamdc	433.0599296	-0.383229232	0.074018705	9.28e-11	8.24e-08	NLGF3.vs.WT3
Mt3	6359.620998	-0.498264134	0.115932748	2.67e-10	2.26e-07	NLGF3.vs.WT3
Eef1g	4960.54891	-0.349032567	0.06571308	3.1e-10	2.31e-07	NLGF3.vs.WT3
Gabarapl2	1939.324145	-0.304170388	0.053721154	3.13e-10	2.31e-07	NLGF3.vs.WT3
Rpl39	1187.531604	-0.496254876	0.116001934	3e-10	2.31e-07	NLGF3.vs.WT3
Cdk13	2401.570752	0.261405217	0.04513295	4.57e-10	3.24e-07	NLGF3.vs.WT3
Gm38481	57.61634277	-1.294861233	0.217435635	5.47e-10	3.67e-07	NLGF3.vs.WT3
Taf11	529.8893867	-0.381718274	0.078934973	5.59e-10	3.67e-07	NLGF3.vs.WT3
Gm10012	64.6158285	-1.378727785	0.233680005	6.38e-10	4.05e-07	NLGF3.vs.WT3
Noct	1397.378893	0.293217303	0.053291452	1.06e-09	6.51e-07	NLGF3.vs.WT3
LOC108168956	17.03319944	2.811937228	0.62399074	1.12e-09	6.65e-07	NLGF3.vs.WT3
2610005L07Rik	166.6758078	-0.622383985	0.144299754	1.42e-09	7.85e-07	NLGF3.vs.WT3
ND2	50691.07729	1.243202479	0.214419433	1.39e-09	7.85e-07	NLGF3.vs.WT3
Erh	610.6066455	-0.430023998	0.102464575	1.52e-09	8.16e-07	NLGF3.vs.WT3
Ankrd13c	2348.106538	0.239789823	0.042494589	1.69e-09	8.82e-07	NLGF3.vs.WT3
Rps6	2770.45199	-0.3530785	0.071784318	1.74e-09	8.82e-07	NLGF3.vs.WT3
Timm23	711.7236651	-0.299952759	0.056248152	2.15e-09	1.06e-06	NLGF3.vs.WT3
Nptxr	1999.173301	1.374261496	0.243513608	2.63e-09	1.26e-06	NLGF3.vs.WT3
Rpl11	3309.475979	-0.40739754	0.096243021	2.9e-09	1.35e-06	NLGF3.vs.WT3
Snrpg	247.5594983	-0.342030404	0.069680576	3.18e-09	1.45e-06	NLGF3.vs.WT3
Rps23	3758.067322	-0.493337067	0.128579259	3.36e-09	1.49e-06	NLGF3.vs.WT3
Foxg1	4266.06415	0.370168329	0.080914622	3.47e-09	1.5e-06	NLGF3.vs.WT3
Ppp2r5a	1162.314035	0.332043561	0.067908259	5.57e-09	2.35e-06	NLGF3.vs.WT3
Lsm7	328.1053261	-0.421498379	0.107566621	7.7e-09	3.18e-06	NLGF3.vs.WT3
Rnu12	19.00102362	1.780403196	0.347189123	9.67e-09	3.9e-06	NLGF3.vs.WT3
Snhg8	260.6421178	-0.572425685	0.153769653	9.96e-09	3.93e-06	NLGF3.vs.WT3
Gm7285	17.58697259	-1.358366675	0.253441587	1.1e-08	4.19e-06	NLGF3.vs.WT3
9-Mar	667.2301243	0.41857591	0.108434431	1.11e-08	4.19e-06	NLGF3.vs.WT3
Nme2	1297.933876	-0.338989931	0.073206269	1.3e-08	4.8e-06	NLGF3.vs.WT3
Hbs1l	817.119812	-0.267664563	0.052001771	1.39e-08	5.04e-06	NLGF3.vs.WT3
Bag4	2479.328516	0.265574976	0.051605063	1.47e-08	5.22e-06	NLGF3.vs.WT3
Rps3a1	3828.129115	-0.343009176	0.075963939	1.76e-08	6.13e-06	NLGF3.vs.WT3
Ifit3b	83.70099053	-0.757018166	0.175328447	1.95e-08	6.65e-06	NLGF3.vs.WT3
Srp54a	162.204186	-0.88915049	0.186661706	2.41e-08	8.06e-06	NLGF3.vs.WT3
Hnrnpm	1838.603684	-0.336408712	0.074659752	2.51e-08	8.13e-06	NLGF3.vs.WT3
Ncoa2	4457.65966	0.214204397	0.040859621	2.52e-08	8.13e-06	NLGF3.vs.WT3
Scp2	1442.533293	-0.250572483	0.049216937	2.75e-08	8.71e-06	NLGF3.vs.WT3
Gm13363	54.83200319	-1.404156695	0.273578469	2.8e-08	8.71e-06	NLGF3.vs.WT3
Zfpm2	1190.661686	0.304640099	0.063784354	2.88e-08	8.81e-06	NLGF3.vs.WT3
Gm6750	11.24701204	-1.925918637	0.408519108	2.98e-08	8.96e-06	NLGF3.vs.WT3
Hist1h2ae	33.28939605	1.085464167	0.214462384	3.03e-08	8.96e-06	NLGF3.vs.WT3
Sumo2	1370.785117	-0.677828928	0.177849993	3.52e-08	1.02e-05	NLGF3.vs.WT3
Rpl23a	2632.861648	-0.308598791	0.065871534	3.77e-08	1.08e-05	NLGF3.vs.WT3
1700003M07Rik	325.049807	0.338178445	0.077170962	3.87e-08	1.09e-05	NLGF3.vs.WT3
Timm8a1	75.121306	-0.726191223	0.182647014	4.05e-08	1.12e-05	NLGF3.vs.WT3
Gm34220	137.4944732	0.490611794	0.14672551	4.19e-08	1.14e-05	NLGF3.vs.WT3
Fam120aos	281.0806254	0.730977037	0.184457687	4.56e-08	1.23e-05	NLGF3.vs.WT3
Dnajc19-ps	11.83225979	-1.792027713	0.38126556	5.49e-08	1.46e-05	NLGF3.vs.WT3
ND1	70286.67166	0.972779525	0.207138152	5.85e-08	1.53e-05	NLGF3.vs.WT3
Eif2s3x	2311.747114	-0.379924893	0.100016878	5.95e-08	1.53e-05	NLGF3.vs.WT3
Vcp	8894.517127	-0.326874277	0.074430497	6.24e-08	1.58e-05	NLGF3.vs.WT3
2200002J24Rik	6.426658072	-2.450995021	0.642286296	6.63e-08	1.64e-05	NLGF3.vs.WT3
Ubqln2	7397.489329	0.400111832	0.111481922	6.66e-08	1.64e-05	NLGF3.vs.WT3
Ifit3	135.2412824	-0.837318688	0.196515741	6.81e-08	1.66e-05	NLGF3.vs.WT3
Eef1b2	2272.484559	-0.370338028	0.096071322	7.12e-08	1.71e-05	NLGF3.vs.WT3
Ndufa1	709.4202644	-0.469290749	0.14413004	7.3e-08	1.73e-05	NLGF3.vs.WT3
Lgr4	1257.426481	0.318233805	0.071736492	7.53e-08	1.74e-05	NLGF3.vs.WT3
Pgk1	6788.163191	-0.364392196	0.093204893	7.45e-08	1.74e-05	NLGF3.vs.WT3
Gm13034	11.01990717	-1.928203919	0.434508009	8.01e-08	1.82e-05	NLGF3.vs.WT3
Ndufb3	887.6206917	-0.414955126	0.120943084	8.4e-08	1.89e-05	NLGF3.vs.WT3
Xist	3414.192937	2.724736923	0.78580448	8.96e-08	1.99e-05	NLGF3.vs.WT3
Tomm40l	993.1317211	-0.330514158	0.077659257	9.17e-08	2.01e-05	NLGF3.vs.WT3
Nfat5	4102.790101	0.316671559	0.072014595	9.44e-08	2.02e-05	NLGF3.vs.WT3
Unc50	635.3805831	-0.240044599	0.049063106	9.39e-08	2.02e-05	NLGF3.vs.WT3
Fbl	496.167336	-0.392067289	0.110138208	9.86e-08	2.08e-05	NLGF3.vs.WT3
Sft2d1	423.9082206	-0.306908153	0.068780124	1.06e-07	2.22e-05	NLGF3.vs.WT3
LOC108168358	27.60687035	1.3519136	0.282728086	1.08e-07	2.24e-05	NLGF3.vs.WT3
Crebbp	8580.495802	0.205527754	0.041227275	1.13e-07	2.3e-05	NLGF3.vs.WT3
Wac	2896.957381	0.329085744	0.078089389	1.15e-07	2.32e-05	NLGF3.vs.WT3
Gm6485	51.34468205	-1.560668077	0.333651173	1.17e-07	2.33e-05	NLGF3.vs.WT3
Acat2	797.4614252	-0.313100622	0.071562596	1.2e-07	2.36e-05	NLGF3.vs.WT3
Rpl30	1778.447	-0.308687533	0.069952865	1.22e-07	2.38e-05	NLGF3.vs.WT3
Spry3	323.7563398	0.325117846	0.07698766	1.33e-07	2.56e-05	NLGF3.vs.WT3
Btg3	147.6179777	-0.552337396	0.176712047	1.4e-07	2.64e-05	NLGF3.vs.WT3
Ift172	1947.274992	-0.313418356	0.072318202	1.4e-07	2.64e-05	NLGF3.vs.WT3
Gm1821	2308.705908	-0.816862655	0.207072545	1.43e-07	2.67e-05	NLGF3.vs.WT3
Atp5e	1685.183562	-0.303336371	0.068790234	1.52e-07	2.8e-05	NLGF3.vs.WT3
Mex3c	1292.518801	0.301378153	0.068205389	1.57e-07	2.87e-05	NLGF3.vs.WT3
Cnot11	674.8750548	0.257738993	0.054857103	1.63e-07	2.95e-05	NLGF3.vs.WT3
Hsd17b4	1552.040717	-0.261367352	0.055941198	1.69e-07	2.99e-05	NLGF3.vs.WT3
Ppp1cc	2115.001054	-0.328384945	0.079605625	1.68e-07	2.99e-05	NLGF3.vs.WT3
Ncoa1	7209.577222	0.202089115	0.04111182	1.7e-07	3e-05	NLGF3.vs.WT3
Gm5148	133.3602666	-0.575582139	0.185852763	1.9e-07	3.15e-05	NLGF3.vs.WT3
Gm5566	32.16490394	-1.584107093	0.351234098	1.89e-07	3.15e-05	NLGF3.vs.WT3
Myef2	1578.059814	-0.346410064	0.089351025	1.88e-07	3.15e-05	NLGF3.vs.WT3
Ndufb9	3062.095905	-0.300577318	0.068624514	1.9e-07	3.15e-05	NLGF3.vs.WT3
Rnasek	963.7815803	0.62562033	0.194584035	1.88e-07	3.15e-05	NLGF3.vs.WT3
Ulk2	3669.143283	0.218027671	0.044993842	1.82e-07	3.15e-05	NLGF3.vs.WT3
Ncoa6	3228.315813	0.284015958	0.063210057	2.04e-07	3.35e-05	NLGF3.vs.WT3
ND5	81683.05465	0.86557602	0.217786992	2.09e-07	3.41e-05	NLGF3.vs.WT3
Hipk1	6897.311525	0.191296403	0.039039611	2.21e-07	3.56e-05	NLGF3.vs.WT3
Insig1	2174.448117	-0.333213942	0.08351517	2.25e-07	3.59e-05	NLGF3.vs.WT3
Txn1	979.0939905	-0.251391265	0.053973568	2.28e-07	3.62e-05	NLGF3.vs.WT3
Nme1	2145.067503	-0.332182442	0.083587803	2.49e-07	3.88e-05	NLGF3.vs.WT3
Rps16	3024.722556	-0.355746553	0.096447379	2.49e-07	3.88e-05	NLGF3.vs.WT3
Arsb	4015.794237	0.178445805	0.036355377	2.58e-07	3.95e-05	NLGF3.vs.WT3
Mtmr9	3373.520234	0.144751462	0.028963596	2.58e-07	3.95e-05	NLGF3.vs.WT3
Prkrip1	321.5511009	-0.289102912	0.065948627	2.78e-07	4.22e-05	NLGF3.vs.WT3
LOC102639762	7.423262501	-1.905725071	0.4747535	2.91e-07	4.37e-05	NLGF3.vs.WT3
Mir682	134.18002	-1.189566302	0.269957423	2.99e-07	4.38e-05	NLGF3.vs.WT3
Qrich1	3143.427296	0.169793054	0.034616557	2.98e-07	4.38e-05	NLGF3.vs.WT3
Rn7s2	75431.71164	-1.654832395	0.38540799	2.98e-07	4.38e-05	NLGF3.vs.WT3
ND4	44514.538	0.975747198	0.237228591	3.1e-07	4.52e-05	NLGF3.vs.WT3
ND6	22275.74353	1.096950541	0.254727487	3.14e-07	4.52e-05	NLGF3.vs.WT3
Gm9794	124.8417028	-1.35294862	0.308699007	3.55e-07	5.04e-05	NLGF3.vs.WT3
